qid	text
multi-hop-v2-048	请分别回答以下两个问题，并为每一部分引用对应证据：1. 皮蛋是寒性的食物吗；2. 不破楼兰终不还是哪首古诗。
multi-hop-v2-049	请分别回答以下两个问题，并为每一部分引用对应证据：1. 介绍家人工作的英语短篇作文；2. 东北名酒白酒排行榜。
multi-hop-v2-050	请分别回答以下两个问题，并为每一部分引用对应证据：1. 淘宝卖的迷你摄像头真的可以用吗；2. 学生会女生部简介。
multi-hop-v2-051	请分别回答以下两个问题，并为每一部分引用对应证据：1. 氮气的氧化物；2. 重庆古称渝州什么时候改为重庆。
multi-hop-v2-052	请分别回答以下两个问题，并为每一部分引用对应证据：1. 月有阴晴圆缺的意义；2. 你不知道,强行亲女生犯法吗。
multi-hop-v2-053	请分别回答以下两个问题，并为每一部分引用对应证据：1. 短途飞机有免费吃的吗；2. 清洁生产的企业发展观。
multi-hop-v2-054	请分别回答以下两个问题，并为每一部分引用对应证据：1. 排列三直选定位公式；2. 微信象棋闯关攻略大全。
multi-hop-v2-055	请分别回答以下两个问题，并为每一部分引用对应证据：1. 4008888518是哪里的电话；2. 小白萝卜的腌制方法大全。
multi-hop-v2-056	请分别回答以下两个问题，并为每一部分引用对应证据：1. 好像有一个鼻子长期不通气；2. 中国自主研发的显卡。
multi-hop-v2-057	请分别回答以下两个问题，并为每一部分引用对应证据：1. 百胜储备经理面试问题；2. 联通5g套餐99元多少流量。
multi-hop-v2-058	请分别回答以下两个问题，并为每一部分引用对应证据：1. 属龙的处女座2020年运势；2. 2021广东省人身损害赔偿金标准。
multi-hop-v2-059	请分别回答以下两个问题，并为每一部分引用对应证据：1. 济宁美开乐技校怎么样；2. 联合国军在朝鲜死了多少人。
multi-hop-v2-060	请分别回答以下两个问题，并为每一部分引用对应证据：1. 儿菜的营养价值及功效；2. 中餐基本味型之调料之间比例大全。
multi-hop-v2-061	请分别回答以下两个问题，并为每一部分引用对应证据：1. 广元有哪里招聘工人的；2. 痘医生科学祛痘连锁机构怎么样。
multi-hop-v2-062	请分别回答以下两个问题，并为每一部分引用对应证据：1. 去店里洗脸一般多少钱；2. 侠客风云传名声上限。
multi-hop-v2-063	请分别回答以下两个问题，并为每一部分引用对应证据：1. widely后面加什么；2. 短途飞机有免费吃的吗。
multi-hop-v2-064	请分别回答以下两个问题，并为每一部分引用对应证据：1. 看肝癌北京哪个医院好；2. widely后面加什么。
multi-hop-v2-065	请分别回答以下两个问题，并为每一部分引用对应证据：1. 形容好的言论的名词；2. 马王堆t字形帛画赏析。
multi-hop-v2-066	请分别回答以下两个问题，并为每一部分引用对应证据：1. 李字行书怎么写好看；2. 电子标怎么二次报价。
multi-hop-v2-067	请分别回答以下两个问题，并为每一部分引用对应证据：1. 开满鲜花的小路主要内容是什么；2. 排列三直选定位公式。
multi-hop-v2-068	请分别回答以下两个问题，并为每一部分引用对应证据：1. python安装；2. swisse护发护甲片副作用。
multi-hop-v2-069	请分别回答以下两个问题，并为每一部分引用对应证据：1. 万能钥匙pc端,要怎么下载没有流氓；2. 烟油量最低的香烟。
multi-hop-v2-070	请分别回答以下两个问题，并为每一部分引用对应证据：1. 修改注册表 解决固态假死；2. 遂川有新型冠状病毒患者吗。
multi-hop-v2-071	请分别回答以下两个问题，并为每一部分引用对应证据：1. 纺织厂一般工资多少；2. 开满鲜花的小路主要内容是什么。
multi-hop-v2-072	请分别回答以下两个问题，并为每一部分引用对应证据：1. 蜂巢取快递验证码摁错怎么办；2. 小白萝卜的腌制方法大全。
multi-hop-v2-073	请分别回答以下两个问题，并为每一部分引用对应证据：1. 生产过后怎么还有一层肚子；2. 中国自主研发的显卡。
multi-hop-v2-074	请分别回答以下两个问题，并为每一部分引用对应证据：1. 大学怎么网上选宿舍；2. 联通5g套餐99元多少流量。
multi-hop-v2-075	请分别回答以下两个问题，并为每一部分引用对应证据：1. 怎么判断鱼卵是否活着；2. 2021广东省人身损害赔偿金标准。
multi-hop-v2-076	请分别回答以下两个问题，并为每一部分引用对应证据：1. 胆碱重要吗；2. 联合国军在朝鲜死了多少人。
multi-hop-v2-077	请分别回答以下两个问题，并为每一部分引用对应证据：1. 霸天虎人物介绍；2. 中餐基本味型之调料之间比例大全。
multi-hop-v2-078	请分别回答以下两个问题，并为每一部分引用对应证据：1. 私立医院生孩子价格；2. 百胜储备经理面试问题。
multi-hop-v2-079	请分别回答以下两个问题，并为每一部分引用对应证据：1. 腾讯体育美娜姐姐简介；2. 侠客风云传名声上限。
multi-hop-v2-080	请分别回答以下两个问题，并为每一部分引用对应证据：1. 龙视安网络枪亮灯无信号；2. 58同城上注册新账号的任务真有的钱吗。
multi-hop-v2-081	请分别回答以下两个问题，并为每一部分引用对应证据：1. 长条气球怎么做爱心；2. widely后面加什么。
multi-hop-v2-082	请分别回答以下两个问题，并为每一部分引用对应证据：1. 杜仲泡水喝功效与作用；2. 属龙的处女座2020年运势。
multi-hop-v2-083	请分别回答以下两个问题，并为每一部分引用对应证据：1. 不破楼兰终不还是哪首古诗；2. 电子标怎么二次报价。
multi-hop-v2-084	请分别回答以下两个问题，并为每一部分引用对应证据：1. 东北名酒白酒排行榜；2. 步步高平板怎么刷机 视频教程。
multi-hop-v2-085	请分别回答以下两个问题，并为每一部分引用对应证据：1. 学生会女生部简介；2. swisse护发护甲片副作用。
multi-hop-v2-086	请分别回答以下两个问题，并为每一部分引用对应证据：1. 重庆古称渝州什么时候改为重庆；2. 烟油量最低的香烟。
multi-hop-v2-087	请分别回答以下两个问题，并为每一部分引用对应证据：1. 你不知道,强行亲女生犯法吗；2. 遂川有新型冠状病毒患者吗。
multi-hop-v2-088	请分别回答以下两个问题，并为每一部分引用对应证据：1. 清洁生产的企业发展观；2. 开满鲜花的小路主要内容是什么。
multi-hop-v2-089	请分别回答以下两个问题，并为每一部分引用对应证据：1. 微信象棋闯关攻略大全；2. 私立医院生孩子价格。
multi-hop-v2-090	请分别回答以下两个问题，并为每一部分引用对应证据：1. 小白萝卜的腌制方法大全；2. 杜仲泡水喝功效与作用。
multi-hop-v2-091	请分别回答以下两个问题，并为每一部分引用对应证据：1. 中国自主研发的显卡；2. 金庸群侠传x如来神掌怎么得。
multi-hop-v2-092	请分别回答以下两个问题，并为每一部分引用对应证据：1. 联通5g套餐99元多少流量；2. 红色教育内容写什么。
multi-hop-v2-093	请分别回答以下两个问题，并为每一部分引用对应证据：1. 金庸群侠传x如来神掌怎么得；2. 济宁美开乐技校怎么样。
multi-hop-v2-094	请分别回答以下两个问题，并为每一部分引用对应证据：1. 联合国军在朝鲜死了多少人；2. 精灵宝可梦和神奇宝贝是什么关系。
multi-hop-v2-095	请分别回答以下两个问题，并为每一部分引用对应证据：1. 中餐基本味型之调料之间比例大全；2. 阿弥陀佛往生哪里。
multi-hop-v2-096	请分别回答以下两个问题，并为每一部分引用对应证据：1. 痘医生科学祛痘连锁机构怎么样；2. 司鱼怎么样。
multi-hop-v2-097	请分别回答以下两个问题，并为每一部分引用对应证据：1. 侠客风云传名声上限；2. 怀孕38天要去医院检查吗。
multi-hop-v2-098	请分别回答以下两个问题，并为每一部分引用对应证据：1. 红色教育内容写什么；2. 广元有哪里招聘工人的。
multi-hop-v2-099	请分别回答以下两个问题，并为每一部分引用对应证据：1. widely后面加什么；2. 胸口痛什么原因。
multi-hop-v2-100	请分别回答以下两个问题，并为每一部分引用对应证据：1. 马王堆t字形帛画赏析；2. 协和丰胸霜怎么样。
