qid	text
multi-hop-v2-091:first	中国自主研发的显卡
multi-hop-v2-091:second	金庸群侠传x如来神掌怎么得
multi-hop-v2-092:first	联通5g套餐99元多少流量
multi-hop-v2-092:second	红色教育内容写什么
multi-hop-v2-093:first	金庸群侠传x如来神掌怎么得
multi-hop-v2-093:second	济宁美开乐技校怎么样
multi-hop-v2-094:first	联合国军在朝鲜死了多少人
multi-hop-v2-094:second	精灵宝可梦和神奇宝贝是什么关系
multi-hop-v2-095:first	中餐基本味型之调料之间比例大全
multi-hop-v2-095:second	阿弥陀佛往生哪里
multi-hop-v2-096:first	痘医生科学祛痘连锁机构怎么样
multi-hop-v2-096:second	司鱼怎么样
multi-hop-v2-097:first	侠客风云传名声上限
multi-hop-v2-097:second	怀孕38天要去医院检查吗
multi-hop-v2-098:first	红色教育内容写什么
multi-hop-v2-098:second	广元有哪里招聘工人的
multi-hop-v2-099:first	widely后面加什么
multi-hop-v2-099:second	胸口痛什么原因
multi-hop-v2-100:first	马王堆t字形帛画赏析
multi-hop-v2-100:second	协和丰胸霜怎么样
